taskId,label,o_Efficiency,o_Mass flow,c_Design,o_Pressure ratio,c_Speed,c_Factor Name,c_Factor Value,o_fakePressure,s_rotor1,s_rotor2,s_rotor3,s_stator1,s_stator2,s_stator3,c2d_rotor1_exit,c2d_rotor2_exit,c2d_rotor3_exit,c2d_stator1_exit,c2d_stator2_exit,c2d_stator3_exit
.\data\task_25,Design B 100% p2_190000,92.62657,48.22643,Design B,2.105013,1,GAC,1,210501.3,.\data\comp3stg\task_25\rotor1\Mis_line1d_mid_rotor1_task_25.json,.\data\comp3stg\task_25\rotor2\Mis_line1d_mid_rotor2_task_25.json,.\data\comp3stg\task_25\rotor3\Mis_line1d_mid_rotor3_task_25.json,.\data\comp3stg\task_25\stator1\Mis_line1d_mid_stator1_task_25.json,.\data\comp3stg\task_25\stator2\Mis_line1d_mid_stator2_task_25.json,.\data\comp3stg\task_25\stator3\Mis_line1d_mid_stator3_task_25.json,.\data\comp3stg\task_25\rotor1\ent_area2d_exit_rotor1_task_25.json,.\data\comp3stg\task_25\rotor2\ent_area2d_exit_rotor2_task_25.json,.\data\comp3stg\task_25\rotor3\ent_area2d_exit_rotor3_task_25.json,.\data\comp3stg\task_25\stator1\ent_area2d_exit_stator1_task_25.json,.\data\comp3stg\task_25\stator2\ent_area2d_exit_stator2_task_25.json,.\data\comp3stg\task_25\stator3\ent_area2d_exit_stator3_task_25.json
.\data\task_26,Design B 90% p2_110000,74.05695,46.71263,Design B,1.435862,0.9,DA,1.04,143586.2,.\data\comp3stg\task_26\rotor1\Mis_line1d_mid_rotor1_task_26.json,.\data\comp3stg\task_26\rotor2\Mis_line1d_mid_rotor2_task_26.json,.\data\comp3stg\task_26\rotor3\Mis_line1d_mid_rotor3_task_26.json,.\data\comp3stg\task_26\stator1\Mis_line1d_mid_stator1_task_26.json,.\data\comp3stg\task_26\stator2\Mis_line1d_mid_stator2_task_26.json,.\data\comp3stg\task_26\stator3\Mis_line1d_mid_stator3_task_26.json,.\data\comp3stg\task_26\rotor1\ent_area2d_exit_rotor1_task_26.json,.\data\comp3stg\task_26\rotor2\ent_area2d_exit_rotor2_task_26.json,.\data\comp3stg\task_26\rotor3\ent_area2d_exit_rotor3_task_26.json,.\data\comp3stg\task_26\stator1\ent_area2d_exit_stator1_task_26.json,.\data\comp3stg\task_26\stator2\ent_area2d_exit_stator2_task_26.json,.\data\comp3stg\task_26\stator3\ent_area2d_exit_stator3_task_26.json
.\data\task_27,Design B 90% p2_120000,79.08065,46.71114,Design B,1.488973,0.9,GAC,0.96,148897.3,.\data\comp3stg\task_27\rotor1\Mis_line1d_mid_rotor1_task_27.json,.\data\comp3stg\task_27\rotor2\Mis_line1d_mid_rotor2_task_27.json,.\data\comp3stg\task_27\rotor3\Mis_line1d_mid_rotor3_task_27.json,.\data\comp3stg\task_27\stator1\Mis_line1d_mid_stator1_task_27.json,.\data\comp3stg\task_27\stator2\Mis_line1d_mid_stator2_task_27.json,.\data\comp3stg\task_27\stator3\Mis_line1d_mid_stator3_task_27.json,.\data\comp3stg\task_27\rotor1\ent_area2d_exit_rotor1_task_27.json,.\data\comp3stg\task_27\rotor2\ent_area2d_exit_rotor2_task_27.json,.\data\comp3stg\task_27\rotor3\ent_area2d_exit_rotor3_task_27.json,.\data\comp3stg\task_27\stator1\ent_area2d_exit_stator1_task_27.json,.\data\comp3stg\task_27\stator2\ent_area2d_exit_stator2_task_27.json,.\data\comp3stg\task_27\stator3\ent_area2d_exit_stator3_task_27.json
.\data\task_28,Design B 90% p2_130000,85.00431,46.70253,Design B,1.559322,0.9,DA,1,155932.2,.\data\comp3stg\task_28\rotor1\Mis_line1d_mid_rotor1_task_28.json,.\data\comp3stg\task_28\rotor2\Mis_line1d_mid_rotor2_task_28.json,.\data\comp3stg\task_28\rotor3\Mis_line1d_mid_rotor3_task_28.json,.\data\comp3stg\task_28\stator1\Mis_line1d_mid_stator1_task_28.json,.\data\comp3stg\task_28\stator2\Mis_line1d_mid_stator2_task_28.json,.\data\comp3stg\task_28\stator3\Mis_line1d_mid_stator3_task_28.json,.\data\comp3stg\task_28\rotor1\ent_area2d_exit_rotor1_task_28.json,.\data\comp3stg\task_28\rotor2\ent_area2d_exit_rotor2_task_28.json,.\data\comp3stg\task_28\rotor3\ent_area2d_exit_rotor3_task_28.json,.\data\comp3stg\task_28\stator1\ent_area2d_exit_stator1_task_28.json,.\data\comp3stg\task_28\stator2\ent_area2d_exit_stator2_task_28.json,.\data\comp3stg\task_28\stator3\ent_area2d_exit_stator3_task_28.json
.\data\task_29,Design B 90% p2_140000,89.62362,46.27926,Design B,1.63511,0.9,GAC,1.04,163511,.\data\comp3stg\task_29\rotor1\Mis_line1d_mid_rotor1_task_29.json,.\data\comp3stg\task_29\rotor2\Mis_line1d_mid_rotor2_task_29.json,.\data\comp3stg\task_29\rotor3\Mis_line1d_mid_rotor3_task_29.json,.\data\comp3stg\task_29\stator1\Mis_line1d_mid_stator1_task_29.json,.\data\comp3stg\task_29\stator2\Mis_line1d_mid_stator2_task_29.json,.\data\comp3stg\task_29\stator3\Mis_line1d_mid_stator3_task_29.json,.\data\comp3stg\task_29\rotor1\ent_area2d_exit_rotor1_task_29.json,.\data\comp3stg\task_29\rotor2\ent_area2d_exit_rotor2_task_29.json,.\data\comp3stg\task_29\rotor3\ent_area2d_exit_rotor3_task_29.json,.\data\comp3stg\task_29\stator1\ent_area2d_exit_stator1_task_29.json,.\data\comp3stg\task_29\stator2\ent_area2d_exit_stator2_task_29.json,.\data\comp3stg\task_29\stator3\ent_area2d_exit_stator3_task_29.json
.\data\task_30,Design B 90% p2_150000,91.61683,45.23144,Design B,1.710771,0.9,DA,0.96,171077.1,.\data\comp3stg\task_30\rotor1\Mis_line1d_mid_rotor1_task_30.json,.\data\comp3stg\task_30\rotor2\Mis_line1d_mid_rotor2_task_30.json,.\data\comp3stg\task_30\rotor3\Mis_line1d_mid_rotor3_task_30.json,.\data\comp3stg\task_30\stator1\Mis_line1d_mid_stator1_task_30.json,.\data\comp3stg\task_30\stator2\Mis_line1d_mid_stator2_task_30.json,.\data\comp3stg\task_30\stator3\Mis_line1d_mid_stator3_task_30.json,.\data\comp3stg\task_30\rotor1\ent_area2d_exit_rotor1_task_30.json,.\data\comp3stg\task_30\rotor2\ent_area2d_exit_rotor2_task_30.json,.\data\comp3stg\task_30\rotor3\ent_area2d_exit_rotor3_task_30.json,.\data\comp3stg\task_30\stator1\ent_area2d_exit_stator1_task_30.json,.\data\comp3stg\task_30\stator2\ent_area2d_exit_stator2_task_30.json,.\data\comp3stg\task_30\stator3\ent_area2d_exit_stator3_task_30.json
.\data\task_31,Design B 90% p2_160000,92.60555,43.85702,Design B,1.78693,0.9,GAC,1,178693,.\data\comp3stg\task_31\rotor1\Mis_line1d_mid_rotor1_task_31.json,.\data\comp3stg\task_31\rotor2\Mis_line1d_mid_rotor2_task_31.json,.\data\comp3stg\task_31\rotor3\Mis_line1d_mid_rotor3_task_31.json,.\data\comp3stg\task_31\stator1\Mis_line1d_mid_stator1_task_31.json,.\data\comp3stg\task_31\stator2\Mis_line1d_mid_stator2_task_31.json,.\data\comp3stg\task_31\stator3\Mis_line1d_mid_stator3_task_31.json,.\data\comp3stg\task_31\rotor1\ent_area2d_exit_rotor1_task_31.json,.\data\comp3stg\task_31\rotor2\ent_area2d_exit_rotor2_task_31.json,.\data\comp3stg\task_31\rotor3\ent_area2d_exit_rotor3_task_31.json,.\data\comp3stg\task_31\stator1\ent_area2d_exit_stator1_task_31.json,.\data\comp3stg\task_31\stator2\ent_area2d_exit_stator2_task_31.json,.\data\comp3stg\task_31\stator3\ent_area2d_exit_stator3_task_31.json
.\data\task_32,Design B 90% p2_170000,92.66753,41.61924,Design B,1.863345,0.9,DA,1.04,186334.5,.\data\comp3stg\task_32\rotor1\Mis_line1d_mid_rotor1_task_32.json,.\data\comp3stg\task_32\rotor2\Mis_line1d_mid_rotor2_task_32.json,.\data\comp3stg\task_32\rotor3\Mis_line1d_mid_rotor3_task_32.json,.\data\comp3stg\task_32\stator1\Mis_line1d_mid_stator1_task_32.json,.\data\comp3stg\task_32\stator2\Mis_line1d_mid_stator2_task_32.json,.\data\comp3stg\task_32\stator3\Mis_line1d_mid_stator3_task_32.json,.\data\comp3stg\task_32\rotor1\ent_area2d_exit_rotor1_task_32.json,.\data\comp3stg\task_32\rotor2\ent_area2d_exit_rotor2_task_32.json,.\data\comp3stg\task_32\rotor3\ent_area2d_exit_rotor3_task_32.json,.\data\comp3stg\task_32\stator1\ent_area2d_exit_stator1_task_32.json,.\data\comp3stg\task_32\stator2\ent_area2d_exit_stator2_task_32.json,.\data\comp3stg\task_32\stator3\ent_area2d_exit_stator3_task_32.json
.\data\task_33,Design B 80% p2_90000,62.7071,41.96393,Design B,1.252868,0.8,GAC,0.96,125286.8,.\data\comp3stg\task_33\rotor1\Mis_line1d_mid_rotor1_task_33.json,.\data\comp3stg\task_33\rotor2\Mis_line1d_mid_rotor2_task_33.json,.\data\comp3stg\task_33\rotor3\Mis_line1d_mid_rotor3_task_33.json,.\data\comp3stg\task_33\stator1\Mis_line1d_mid_stator1_task_33.json,.\data\comp3stg\task_33\stator2\Mis_line1d_mid_stator2_task_33.json,.\data\comp3stg\task_33\stator3\Mis_line1d_mid_stator3_task_33.json,.\data\comp3stg\task_33\rotor1\ent_area2d_exit_rotor1_task_33.json,.\data\comp3stg\task_33\rotor2\ent_area2d_exit_rotor2_task_33.json,.\data\comp3stg\task_33\rotor3\ent_area2d_exit_rotor3_task_33.json,.\data\comp3stg\task_33\stator1\ent_area2d_exit_stator1_task_33.json,.\data\comp3stg\task_33\stator2\ent_area2d_exit_stator2_task_33.json,.\data\comp3stg\task_33\stator3\ent_area2d_exit_stator3_task_33.json
.\data\task_34,Design B 80% p2_100000,70.21467,41.94318,Design B,1.297068,0.8,DA,1,129706.8,.\data\comp3stg\task_34\rotor1\Mis_line1d_mid_rotor1_task_34.json,.\data\comp3stg\task_34\rotor2\Mis_line1d_mid_rotor2_task_34.json,.\data\comp3stg\task_34\rotor3\Mis_line1d_mid_rotor3_task_34.json,.\data\comp3stg\task_34\stator1\Mis_line1d_mid_stator1_task_34.json,.\data\comp3stg\task_34\stator2\Mis_line1d_mid_stator2_task_34.json,.\data\comp3stg\task_34\stator3\Mis_line1d_mid_stator3_task_34.json,.\data\comp3stg\task_34\rotor1\ent_area2d_exit_rotor1_task_34.json,.\data\comp3stg\task_34\rotor2\ent_area2d_exit_rotor2_task_34.json,.\data\comp3stg\task_34\rotor3\ent_area2d_exit_rotor3_task_34.json,.\data\comp3stg\task_34\stator1\ent_area2d_exit_stator1_task_34.json,.\data\comp3stg\task_34\stator2\ent_area2d_exit_stator2_task_34.json,.\data\comp3stg\task_34\stator3\ent_area2d_exit_stator3_task_34.json
.\data\task_35,Design B 80% p2_110000,78.68724,41.91799,Design B,1.353713,0.8,GAC,1.04,135371.3,.\data\comp3stg\task_35\rotor1\Mis_line1d_mid_rotor1_task_35.json,.\data\comp3stg\task_35\rotor2\Mis_line1d_mid_rotor2_task_35.json,.\data\comp3stg\task_35\rotor3\Mis_line1d_mid_rotor3_task_35.json,.\data\comp3stg\task_35\stator1\Mis_line1d_mid_stator1_task_35.json,.\data\comp3stg\task_35\stator2\Mis_line1d_mid_stator2_task_35.json,.\data\comp3stg\task_35\stator3\Mis_line1d_mid_stator3_task_35.json,.\data\comp3stg\task_35\rotor1\ent_area2d_exit_rotor1_task_35.json,.\data\comp3stg\task_35\rotor2\ent_area2d_exit_rotor2_task_35.json,.\data\comp3stg\task_35\rotor3\ent_area2d_exit_rotor3_task_35.json,.\data\comp3stg\task_35\stator1\ent_area2d_exit_stator1_task_35.json,.\data\comp3stg\task_35\stator2\ent_area2d_exit_stator2_task_35.json,.\data\comp3stg\task_35\stator3\ent_area2d_exit_stator3_task_35.json
.\data\task_36,Design B 80% p2_120000,86.12284,41.52279,Design B,1.415704,0.8,DA,0.96,141570.4,.\data\comp3stg\task_36\rotor1\Mis_line1d_mid_rotor1_task_36.json,.\data\comp3stg\task_36\rotor2\Mis_line1d_mid_rotor2_task_36.json,.\data\comp3stg\task_36\rotor3\Mis_line1d_mid_rotor3_task_36.json,.\data\comp3stg\task_36\stator1\Mis_line1d_mid_stator1_task_36.json,.\data\comp3stg\task_36\stator2\Mis_line1d_mid_stator2_task_36.json,.\data\comp3stg\task_36\stator3\Mis_line1d_mid_stator3_task_36.json,.\data\comp3stg\task_36\rotor1\ent_area2d_exit_rotor1_task_36.json,.\data\comp3stg\task_36\rotor2\ent_area2d_exit_rotor2_task_36.json,.\data\comp3stg\task_36\rotor3\ent_area2d_exit_rotor3_task_36.json,.\data\comp3stg\task_36\stator1\ent_area2d_exit_stator1_task_36.json,.\data\comp3stg\task_36\stator2\ent_area2d_exit_stator2_task_36.json,.\data\comp3stg\task_36\stator3\ent_area2d_exit_stator3_task_36.json
.\data\task_37,Design B 80% p2_130000,90.21402,40.48936,Design B,1.487177,0.8,GAC,1,148717.7,.\data\comp3stg\task_37\rotor1\Mis_line1d_mid_rotor1_task_37.json,.\data\comp3stg\task_37\rotor2\Mis_line1d_mid_rotor2_task_37.json,.\data\comp3stg\task_37\rotor3\Mis_line1d_mid_rotor3_task_37.json,.\data\comp3stg\task_37\stator1\Mis_line1d_mid_stator1_task_37.json,.\data\comp3stg\task_37\stator2\Mis_line1d_mid_stator2_task_37.json,.\data\comp3stg\task_37\stator3\Mis_line1d_mid_stator3_task_37.json,.\data\comp3stg\task_37\rotor1\ent_area2d_exit_rotor1_task_37.json,.\data\comp3stg\task_37\rotor2\ent_area2d_exit_rotor2_task_37.json,.\data\comp3stg\task_37\rotor3\ent_area2d_exit_rotor3_task_37.json,.\data\comp3stg\task_37\stator1\ent_area2d_exit_stator1_task_37.json,.\data\comp3stg\task_37\stator2\ent_area2d_exit_stator2_task_37.json,.\data\comp3stg\task_37\stator3\ent_area2d_exit_stator3_task_37.json
.\data\task_38,Design B 80% p2_140000,92.20825,38.88341,Design B,1.561103,0.8,DA,1.04,156110.3,.\data\comp3stg\task_38\rotor1\Mis_line1d_mid_rotor1_task_38.json,.\data\comp3stg\task_38\rotor2\Mis_line1d_mid_rotor2_task_38.json,.\data\comp3stg\task_38\rotor3\Mis_line1d_mid_rotor3_task_38.json,.\data\comp3stg\task_38\stator1\Mis_line1d_mid_stator1_task_38.json,.\data\comp3stg\task_38\stator2\Mis_line1d_mid_stator2_task_38.json,.\data\comp3stg\task_38\stator3\Mis_line1d_mid_stator3_task_38.json,.\data\comp3stg\task_38\rotor1\ent_area2d_exit_rotor1_task_38.json,.\data\comp3stg\task_38\rotor2\ent_area2d_exit_rotor2_task_38.json,.\data\comp3stg\task_38\rotor3\ent_area2d_exit_rotor3_task_38.json,.\data\comp3stg\task_38\stator1\ent_area2d_exit_stator1_task_38.json,.\data\comp3stg\task_38\stator2\ent_area2d_exit_stator2_task_38.json,.\data\comp3stg\task_38\stator3\ent_area2d_exit_stator3_task_38.json
.\data\task_39,Design B 80% p2_150000,92.69257,36.33635,Design B,1.634093,0.8,GAC,0.96,163409.3,.\data\comp3stg\task_39\rotor1\Mis_line1d_mid_rotor1_task_39.json,.\data\comp3stg\task_39\rotor2\Mis_line1d_mid_rotor2_task_39.json,.\data\comp3stg\task_39\rotor3\Mis_line1d_mid_rotor3_task_39.json,.\data\comp3stg\task_39\stator1\Mis_line1d_mid_stator1_task_39.json,.\data\comp3stg\task_39\stator2\Mis_line1d_mid_stator2_task_39.json,.\data\comp3stg\task_39\stator3\Mis_line1d_mid_stator3_task_39.json,.\data\comp3stg\task_39\rotor1\ent_area2d_exit_rotor1_task_39.json,.\data\comp3stg\task_39\rotor2\ent_area2d_exit_rotor2_task_39.json,.\data\comp3stg\task_39\rotor3\ent_area2d_exit_rotor3_task_39.json,.\data\comp3stg\task_39\stator1\ent_area2d_exit_stator1_task_39.json,.\data\comp3stg\task_39\stator2\ent_area2d_exit_stator2_task_39.json,.\data\comp3stg\task_39\stator3\ent_area2d_exit_stator3_task_39.json
.\data\task_40,Design C 100% p2_140000,82.98617,51.85049,Design C,1.707535,1,DA,1,170753.5,.\data\comp3stg\task_40\rotor1\Mis_line1d_mid_rotor1_task_40.json,.\data\comp3stg\task_40\rotor2\Mis_line1d_mid_rotor2_task_40.json,.\data\comp3stg\task_40\rotor3\Mis_line1d_mid_rotor3_task_40.json,.\data\comp3stg\task_40\stator1\Mis_line1d_mid_stator1_task_40.json,.\data\comp3stg\task_40\stator2\Mis_line1d_mid_stator2_task_40.json,.\data\comp3stg\task_40\stator3\Mis_line1d_mid_stator3_task_40.json,.\data\comp3stg\task_40\rotor1\ent_area2d_exit_rotor1_task_40.json,.\data\comp3stg\task_40\rotor2\ent_area2d_exit_rotor2_task_40.json,.\data\comp3stg\task_40\rotor3\ent_area2d_exit_rotor3_task_40.json,.\data\comp3stg\task_40\stator1\ent_area2d_exit_stator1_task_40.json,.\data\comp3stg\task_40\stator2\ent_area2d_exit_stator2_task_40.json,.\data\comp3stg\task_40\stator3\ent_area2d_exit_stator3_task_40.json
.\data\task_41,Design C 100% p2_150000,86.59528,51.80873,Design C,1.785881,1,GAC,1.04,178588.1,.\data\comp3stg\task_41\rotor1\Mis_line1d_mid_rotor1_task_41.json,.\data\comp3stg\task_41\rotor2\Mis_line1d_mid_rotor2_task_41.json,.\data\comp3stg\task_41\rotor3\Mis_line1d_mid_rotor3_task_41.json,.\data\comp3stg\task_41\stator1\Mis_line1d_mid_stator1_task_41.json,.\data\comp3stg\task_41\stator2\Mis_line1d_mid_stator2_task_41.json,.\data\comp3stg\task_41\stator3\Mis_line1d_mid_stator3_task_41.json,.\data\comp3stg\task_41\rotor1\ent_area2d_exit_rotor1_task_41.json,.\data\comp3stg\task_41\rotor2\ent_area2d_exit_rotor2_task_41.json,.\data\comp3stg\task_41\rotor3\ent_area2d_exit_rotor3_task_41.json,.\data\comp3stg\task_41\stator1\ent_area2d_exit_stator1_task_41.json,.\data\comp3stg\task_41\stator2\ent_area2d_exit_stator2_task_41.json,.\data\comp3stg\task_41\stator3\ent_area2d_exit_stator3_task_41.json
.\data\task_42,Design C 100% p2_160000,90.09173,51.6062,Design C,1.866258,1,DA,0.96,186625.8,.\data\comp3stg\task_42\rotor1\Mis_line1d_mid_rotor1_task_42.json,.\data\comp3stg\task_42\rotor2\Mis_line1d_mid_rotor2_task_42.json,.\data\comp3stg\task_42\rotor3\Mis_line1d_mid_rotor3_task_42.json,.\data\comp3stg\task_42\stator1\Mis_line1d_mid_stator1_task_42.json,.\data\comp3stg\task_42\stator2\Mis_line1d_mid_stator2_task_42.json,.\data\comp3stg\task_42\stator3\Mis_line1d_mid_stator3_task_42.json,.\data\comp3stg\task_42\rotor1\ent_area2d_exit_rotor1_task_42.json,.\data\comp3stg\task_42\rotor2\ent_area2d_exit_rotor2_task_42.json,.\data\comp3stg\task_42\rotor3\ent_area2d_exit_rotor3_task_42.json,.\data\comp3stg\task_42\stator1\ent_area2d_exit_stator1_task_42.json,.\data\comp3stg\task_42\stator2\ent_area2d_exit_stator2_task_42.json,.\data\comp3stg\task_42\stator3\ent_area2d_exit_stator3_task_42.json
.\data\task_43,Design C 100% p2_170000,91.53937,50.84376,Design C,1.945216,1,GAC,1,194521.6,.\data\comp3stg\task_43\rotor1\Mis_line1d_mid_rotor1_task_43.json,.\data\comp3stg\task_43\rotor2\Mis_line1d_mid_rotor2_task_43.json,.\data\comp3stg\task_43\rotor3\Mis_line1d_mid_rotor3_task_43.json,.\data\comp3stg\task_43\stator1\Mis_line1d_mid_stator1_task_43.json,.\data\comp3stg\task_43\stator2\Mis_line1d_mid_stator2_task_43.json,.\data\comp3stg\task_43\stator3\Mis_line1d_mid_stator3_task_43.json,.\data\comp3stg\task_43\rotor1\ent_area2d_exit_rotor1_task_43.json,.\data\comp3stg\task_43\rotor2\ent_area2d_exit_rotor2_task_43.json,.\data\comp3stg\task_43\rotor3\ent_area2d_exit_rotor3_task_43.json,.\data\comp3stg\task_43\stator1\ent_area2d_exit_stator1_task_43.json,.\data\comp3stg\task_43\stator2\ent_area2d_exit_stator2_task_43.json,.\data\comp3stg\task_43\stator3\ent_area2d_exit_stator3_task_43.json
.\data\task_44,Design C 100% p2_180000,92.38444,49.81919,Design C,2.025225,1,DA,1.04,202522.5,.\data\comp3stg\task_44\rotor1\Mis_line1d_mid_rotor1_task_44.json,.\data\comp3stg\task_44\rotor2\Mis_line1d_mid_rotor2_task_44.json,.\data\comp3stg\task_44\rotor3\Mis_line1d_mid_rotor3_task_44.json,.\data\comp3stg\task_44\stator1\Mis_line1d_mid_stator1_task_44.json,.\data\comp3stg\task_44\stator2\Mis_line1d_mid_stator2_task_44.json,.\data\comp3stg\task_44\stator3\Mis_line1d_mid_stator3_task_44.json,.\data\comp3stg\task_44\rotor1\ent_area2d_exit_rotor1_task_44.json,.\data\comp3stg\task_44\rotor2\ent_area2d_exit_rotor2_task_44.json,.\data\comp3stg\task_44\rotor3\ent_area2d_exit_rotor3_task_44.json,.\data\comp3stg\task_44\stator1\ent_area2d_exit_stator1_task_44.json,.\data\comp3stg\task_44\stator2\ent_area2d_exit_stator2_task_44.json,.\data\comp3stg\task_44\stator3\ent_area2d_exit_stator3_task_44.json
.\data\task_45,Design C 100% p2_190000,92.89457,48.4651,Design C,2.107482,1,GAC,0.96,210748.2,.\data\comp3stg\task_45\rotor1\Mis_line1d_mid_rotor1_task_45.json,.\data\comp3stg\task_45\rotor2\Mis_line1d_mid_rotor2_task_45.json,.\data\comp3stg\task_45\rotor3\Mis_line1d_mid_rotor3_task_45.json,.\data\comp3stg\task_45\stator1\Mis_line1d_mid_stator1_task_45.json,.\data\comp3stg\task_45\stator2\Mis_line1d_mid_stator2_task_45.json,.\data\comp3stg\task_45\stator3\Mis_line1d_mid_stator3_task_45.json,.\data\comp3stg\task_45\rotor1\ent_area2d_exit_rotor1_task_45.json,.\data\comp3stg\task_45\rotor2\ent_area2d_exit_rotor2_task_45.json,.\data\comp3stg\task_45\rotor3\ent_area2d_exit_rotor3_task_45.json,.\data\comp3stg\task_45\stator1\ent_area2d_exit_stator1_task_45.json,.\data\comp3stg\task_45\stator2\ent_area2d_exit_stator2_task_45.json,.\data\comp3stg\task_45\stator3\ent_area2d_exit_stator3_task_45.json
.\data\task_46,Design C 90% p2_110000,74.14331,46.77576,Design C,1.436239,0.9,DA,1,143623.9,.\data\comp3stg\task_46\rotor1\Mis_line1d_mid_rotor1_task_46.json,.\data\comp3stg\task_46\rotor2\Mis_line1d_mid_rotor2_task_46.json,.\data\comp3stg\task_46\rotor3\Mis_line1d_mid_rotor3_task_46.json,.\data\comp3stg\task_46\stator1\Mis_line1d_mid_stator1_task_46.json,.\data\comp3stg\task_46\stator2\Mis_line1d_mid_stator2_task_46.json,.\data\comp3stg\task_46\stator3\Mis_line1d_mid_stator3_task_46.json,.\data\comp3stg\task_46\rotor1\ent_area2d_exit_rotor1_task_46.json,.\data\comp3stg\task_46\rotor2\ent_area2d_exit_rotor2_task_46.json,.\data\comp3stg\task_46\rotor3\ent_area2d_exit_rotor3_task_46.json,.\data\comp3stg\task_46\stator1\ent_area2d_exit_stator1_task_46.json,.\data\comp3stg\task_46\stator2\ent_area2d_exit_stator2_task_46.json,.\data\comp3stg\task_46\stator3\ent_area2d_exit_stator3_task_46.json
.\data\task_47,Design C 90% p2_120000,79.07591,46.74331,Design C,1.489204,0.9,GAC,1.04,148920.4,.\data\comp3stg\task_47\rotor1\Mis_line1d_mid_rotor1_task_47.json,.\data\comp3stg\task_47\rotor2\Mis_line1d_mid_rotor2_task_47.json,.\data\comp3stg\task_47\rotor3\Mis_line1d_mid_rotor3_task_47.json,.\data\comp3stg\task_47\stator1\Mis_line1d_mid_stator1_task_47.json,.\data\comp3stg\task_47\stator2\Mis_line1d_mid_stator2_task_47.json,.\data\comp3stg\task_47\stator3\Mis_line1d_mid_stator3_task_47.json,.\data\comp3stg\task_47\rotor1\ent_area2d_exit_rotor1_task_47.json,.\data\comp3stg\task_47\rotor2\ent_area2d_exit_rotor2_task_47.json,.\data\comp3stg\task_47\rotor3\ent_area2d_exit_rotor3_task_47.json,.\data\comp3stg\task_47\stator1\ent_area2d_exit_stator1_task_47.json,.\data\comp3stg\task_47\stator2\ent_area2d_exit_stator2_task_47.json,.\data\comp3stg\task_47\stator3\ent_area2d_exit_stator3_task_47.json
.\data\task_48,Design C 90% p2_130000,84.91078,46.74937,Design C,1.559247,0.9,DA,0.96,155924.7,.\data\comp3stg\task_48\rotor1\Mis_line1d_mid_rotor1_task_48.json,.\data\comp3stg\task_48\rotor2\Mis_line1d_mid_rotor2_task_48.json,.\data\comp3stg\task_48\rotor3\Mis_line1d_mid_rotor3_task_48.json,.\data\comp3stg\task_48\stator1\Mis_line1d_mid_stator1_task_48.json,.\data\comp3stg\task_48\stator2\Mis_line1d_mid_stator2_task_48.json,.\data\comp3stg\task_48\stator3\Mis_line1d_mid_stator3_task_48.json,.\data\comp3stg\task_48\rotor1\ent_area2d_exit_rotor1_task_48.json,.\data\comp3stg\task_48\rotor2\ent_area2d_exit_rotor2_task_48.json,.\data\comp3stg\task_48\rotor3\ent_area2d_exit_rotor3_task_48.json,.\data\comp3stg\task_48\stator1\ent_area2d_exit_stator1_task_48.json,.\data\comp3stg\task_48\stator2\ent_area2d_exit_stator2_task_48.json,.\data\comp3stg\task_48\stator3\ent_area2d_exit_stator3_task_48.json
.\data\task_49,Design C 90% p2_140000,89.61167,46.30878,Design C,1.635146,0.9,GAC,1,163514.6,.\data\comp3stg\task_49\rotor1\Mis_line1d_mid_rotor1_task_49.json,.\data\comp3stg\task_49\rotor2\Mis_line1d_mid_rotor2_task_49.json,.\data\comp3stg\task_49\rotor3\Mis_line1d_mid_rotor3_task_49.json,.\data\comp3stg\task_49\stator1\Mis_line1d_mid_stator1_task_49.json,.\data\comp3stg\task_49\stator2\Mis_line1d_mid_stator2_task_49.json,.\data\comp3stg\task_49\stator3\Mis_line1d_mid_stator3_task_49.json,.\data\comp3stg\task_49\rotor1\ent_area2d_exit_rotor1_task_49.json,.\data\comp3stg\task_49\rotor2\ent_area2d_exit_rotor2_task_49.json,.\data\comp3stg\task_49\rotor3\ent_area2d_exit_rotor3_task_49.json,.\data\comp3stg\task_49\stator1\ent_area2d_exit_stator1_task_49.json,.\data\comp3stg\task_49\stator2\ent_area2d_exit_stator2_task_49.json,.\data\comp3stg\task_49\stator3\ent_area2d_exit_stator3_task_49.json
.\data\task_50,Design C 90% p2_150000,91.61307,45.26789,Design C,1.710861,0.9,DA,1.04,171086.1,.\data\comp3stg\task_50\rotor1\Mis_line1d_mid_rotor1_task_50.json,.\data\comp3stg\task_50\rotor2\Mis_line1d_mid_rotor2_task_50.json,.\data\comp3stg\task_50\rotor3\Mis_line1d_mid_rotor3_task_50.json,.\data\comp3stg\task_50\stator1\Mis_line1d_mid_stator1_task_50.json,.\data\comp3stg\task_50\stator2\Mis_line1d_mid_stator2_task_50.json,.\data\comp3stg\task_50\stator3\Mis_line1d_mid_stator3_task_50.json,.\data\comp3stg\task_50\rotor1\ent_area2d_exit_rotor1_task_50.json,.\data\comp3stg\task_50\rotor2\ent_area2d_exit_rotor2_task_50.json,.\data\comp3stg\task_50\rotor3\ent_area2d_exit_rotor3_task_50.json,.\data\comp3stg\task_50\stator1\ent_area2d_exit_stator1_task_50.json,.\data\comp3stg\task_50\stator2\ent_area2d_exit_stator2_task_50.json,.\data\comp3stg\task_50\stator3\ent_area2d_exit_stator3_task_50.json
